author	year	country	n	n_gender_post_exc_1	n_gender_post_exc_2	age_post_1	age_post_2	blinding	device	instruction	motivation	update_timing	update_timing_1_TEXT	task_demands_type	trial_dur	trial_iti	trial_n	block_ibi	block_n	session_isi	session_n	session_dur	training_dur_days	training_dur_min	bold_mod	eeg_mod	rehearsal	func_loc	PSC	SE_psc	SD_PSC
Andersson	2019	Italy	14	7	7	23.6		1	3	1	2	1	0.59		24	24	9		1	45084	2	7.3	45084	7.2	1		2	1	0.7	0.163029358	0.61
Anil	2022	UK	25	12	13	30.96	11.19	1	3	2	2	1			300		6		1	7	4	32	28	120		1	2	2	0.008474576	3.4210741	17.1053705
Auer	2015	Germany	16	9	7	25.9	3.3	2	2	1	2	1	45148		30	40	4	110	4	44928	12	23.3	12	96	1		2	1	0.69	0.03675	0.147
Cannon	2014	USA	5	3	2			1	3	2	2	1			300		6		1	44928	45280	60				1	2	2	0.582914573	0.122693113	0.274350141
Cheng	2015	Germany	8	7	1	20.6	1.59	2	3	2	2	1			30		12		1	45021	8		35	48		1	2	2	0.231326644	6.673137379	18.87448277
Christie	2020	Canada	8					1	3	2	2	1		9	5400		1		1		15	90	137	1350		1	2	2	0.284644195	0.197104033	0.557494395
de Zambotti	2012	Italy	8	2	6	23.12	1.8	1	3	1	2				180		5		1	44930	16	18	56	240		1	2	2	0.1285	4.189607679	11.85
Dekker	2014	Netherlands	18	6	12	20.7	1.79	1	3	2	2	1			480	300	3		1	44928	15	54		360		1	2	2	0.126126126	0.055677644	0.236220236
Dempster	2009	UK	25	5	20			1	3	2	2	1			450	30	2		1	7	10	18.5	10	150		1	2	2	0.10786802	0.562721956	2.813609781
Domingos_4	2021	Portugal	14	14	0			1	3	1	2	1			60	5	25		1	44930	12	27.0833	28	300		1	1	1	0.157534247	0.021876275	0.081853528
Domingos_3	2021	Portugal	13	13	0			1	3	1	2	1			60	5	25		1	44932	12	27.0833	42	300		1	1	1	0.012820513	0.027315817	0.098488578
Domingos_2	2021	Portugal	15	15		21.2	2.62	1	3	1	2	1			60	5	25			44989	12	27	42	300		1	1	2	0.054054054	0.085142343	0.329754878
Domingos_1	2021	Portugal	15	15		21.2	2.62	1	3	1	2	1			60	5	25			44928	12	27	28	300		1	1	2	0.010526316	0.083516465	0.32345788
