author_n,year,n,trial_num,time_since_first,train_amount_since_first,SMD,SE
Anil,2022,25,2,7,60,-0.025695624,0.118677279
Anil,2022,25,3,14,90,-0.052955329,0.118836069
Anil,2022,25,4,21,120,-0.17383648,0.120848095
Cheng,2015,8,3,13.5,24,0.473437945,0.199901185
Cheng,2015,8,5,22.5,36,0.557457839,0.208182841
Cheng,2015,8,7,31.5,48,0.58766724,0.211399814
Christie,2020,8,15,137,1350,1.283574809,0.309030979
Dekker,2014,18,15,23.5,360,0.570751465,0.161354643
Dempster,2009,29,2,7,30,0.082577231,0.119132841
Dempster,2009,29,3,14,45,0.120689799,0.119703428
Dempster,2009,29,4,21,60,0.14292213,0.120133283
Dempster,2009,28,5,28,75,0.304900545,0.125331576
Dempster,2009,28,6,35,90,0.390653823,0.129449716
Dempster,2009,27,7,42,105,0.260435882,0.123554903
Dempster,2009,25,8,49,120,0.333484971,0.126605686
Dempster,2009,25,9,56,135,0.438294533,0.132105721
Dempster,2009,25,10,63,150,0.371597539,0.128458982
deZambotti,2012,8,4,7,60,-0.546917551,0.20708912
deZambotti,2012,8,6,14,90,-0.044134169,0.17689193
deZambotti,2012,8,8,21,120,0.009519135,0.176686982
deZambotti,2012,8,10,28,150,0.074422325,0.17728752
deZambotti,2012,8,12,35,180,0.295958548,0.186097921
deZambotti,2012,8,14,42,210,0.668070173,0.220520696
deZambotti,2012,8,16,49,240,0.867106624,0.246072555
Domingos_3,2021,13,12,38.5,300,0.053993598,0.15401316
Domingos_4,2021,14,12,27.5,300,0.717593012,0.191962338
Emmert_1,2014,14,2,0.003993056,4,0.495576745,0.171176888
Emmert_1,2014,14,3,0.005381944,6,-0.097028241,0.150608191
Emmert_1,2014,14,4,0.006770833,8,0.191143813,0.153110655
Emmert_2,2014,14,2,0.003993056,4,0.244510985,0.155223759
Emmert_2,2014,14,3,0.005381944,6,0.10257377,0.150711136
Emmert_2,2014,14,4,0.006770833,8,0.235382193,0.1548278
Gevensleben,2014,9,2,3,48,-0.167197698,0.174968475
Gevensleben,2014,9,3,6,72,-0.377811373,0.186703612
Gevensleben,2014,9,4,9,96,0.021246116,0.17203781
Gevensleben,2014,9,5,12,120,-0.026788581,0.172066418
Gevensleben,2014,9,6,15,144,-0.448939676,0.19243854
Gevensleben,2014,9,7,18,168,0.204147466,0.176412333
Gevensleben,2014,9,8,21,192,0.254029652,0.178791441
Goksin,2019,11,2,3,22.5,0.145072732,0.164606969
Goksin,2019,11,3,6,33.75,0.231295205,0.167828443
Goksin,2019,11,4,9,45,0.359944609,0.175147196
Goksin,2019,11,5,12,56.25,0.338046838,0.173701283
Guleken,2020,8,2,3.5,60,0.191682858,0.180688632
Guleken,2020,8,5,14,150,0.646929646,0.21804741
Guleken,2020,8,10,31.5,300,1.150097148,0.287793958
Hellrung_1,2018,16,2,0.005555556,4,0.111622914,0.143548265
Hellrung_1,2018,16,3,0.011111111,6,0.144453183,0.144289047
Hellrung_2,2018,18,2,0.005555556,4,0.12832929,0.137413305
Hellrung_2,2018,18,3,0.011111111,6,0.172442484,0.138525321
Keynan_4,2019,38,2,4.667,10,0.249572476,0.102213743
Keynan_4,2019,38,3,9.334,15,0.249572476,0.102213743
Keynan_4,2019,38,4,14.001,20,0.311965594,0.104269623
Keynan_4,2019,38,5,18.668,25,0.436751832,0.109563534
Keynan_4,2019,38,6,23.335,30,0.686324308,0.124097579
Keynan_5,2019,88,2,4.667,10,-0.036888716,0.066315591
Keynan_5,2019,88,3,9.334,15,-0.098369911,0.066658787
Keynan_5,2019,88,4,14.001,20,0.159851105,0.067309121
Keynan_5,2019,88,5,18.668,25,0.51644203,0.076511245
Keynan_5,2019,88,6,23.335,30,0.553330747,0.077913642
Kober_3,2022,13,2,0.002083333,6,-0.025114056,0.153793892
Kober_3,2022,13,3,0.004166667,9,-0.083713521,0.154405182
Kober_3,2022,13,4,0.00625,12,-0.209283801,0.157885646
Kober_3,2022,13,5,0.008333333,15,-0.159055689,0.156145167
Kober_3,2022,13,6,0.010416667,18,0.133941633,0.155447515
Kober_3,2022,13,7,0.0125,21,0.175798393,0.156674627
Kober_3,2022,13,8,0.014583333,24,0.092084873,0.154545905
Kober_3,2022,13,9,0.016666667,27,0.209283801,0.157885646
Kober_4,2022,13,2,0.002083333,6,0.299894398,0.162144607
Kober_4,2022,13,3,0.004166667,9,0.275902846,0.16088122
Kober_4,2022,13,4,0.00625,12,0.311890174,0.162811795
Kober_4,2022,13,5,0.008333333,15,0.38386483,0.167293358
Kober_4,2022,13,6,0.010416667,18,0.527814141,0.178505133
Kober_4,2022,13,7,0.0125,21,0.227919743,0.158646084
Kober_4,2022,13,8,0.014583333,24,0.335881726,0.164215714
Kober_4,2022,13,9,0.016666667,27,0.311890174,0.162811795
Kober_5,2013,10,10,18.9,180,0.405604976,0.183570737
Krogmeier,2022,19,2,0.00087963,1,-0.039847816,0.133224743
Krogmeier,2022,19,3,0.001759259,1.5,0.150224594,0.134956897
Krogmeier,2022,19,4,0.002638889,2,0.088958608,0.133749386
Krogmeier,2022,19,5,0.003518519,2.5,0.096321753,0.133862264
Krogmeier,2022,19,6,0.004398148,3,0.000805832,0.133092781
Krogmeier,2022,19,7,0.005277778,3.5,0.169064403,0.13544946
Krogmeier,2022,19,8,0.006157407,4,-0.051559892,0.133313679
Mayeli,2020,18,2,0.003703704,5.333334,0.02239147,0.136063029
Mayeli,2020,18,3,0.007407407,8,-0.004478294,0.136022117
Naas,2019,17,2,1,30,0.526100958,0.16141574
Naas,2019,17,3,2,45,0.54424237,0.162864636
Naas,2019,17,4,3,60,0.653090844,0.172274348
Patel,2021,4,2,4,20,0.213368458,0.171954331
Patel,2021,4,3,8,30,0.174063742,0.170398848
Patel,2021,4,4,12,40,0.129144066,0.16899548
Patel,2021,4,5,16,50,-0.044919675,0.167471769
Pimenta_1,2018,10,2,2.917,40,0.462596046,0.188220446
Pimenta_1,2018,10,3,5.8337,60,0.115649012,0.1685754
Pimenta_1,2018,10,4,8.7504,80,0.231298023,0.172683293
Pimenta_1,2018,10,5,11.6671,100,0.462596046,0.188220446
Pimenta_1,2018,10,6,14.5838,120,1.040841104,0.256515972
Pimenta_2,2018,11,2,2.917,40,0.224245753,0.167512416
Pimenta_2,2018,11,3,5.8337,60,0.074748584,0.163049986
