author_n,year,n,trial_num,time_since_first,train_amount_since_first,SMD,SE,es.id
Cannon,2014,5,post,22,480,1.384285,0.333553,id_1
Dempster,2009,29,1,0.0111,30,-0.01864,0.118654,id_2
Dempster,2009,29,2,7,45,0.062125,0.118914,id_3
Dempster,2009,29,3,14,60,0.099401,0.119359,id_4
Dempster,2009,28,4,21,75,0.121144,0.119712,id_5
Dempster,2009,28,5,28,90,0.279564,0.124288,id_6
Dempster,2009,27,6,35,105,0.363433,0.128047,id_7
Dempster,2009,25,7,42,120,0.236076,0.122691,id_8
Dempster,2009,25,8,49,135,0.307521,0.125444,id_9
Dempster,2009,25,9,56,150,0.410027,0.130499,id_10
Dempster,2009,25,10,63,150,0.344796,0.127138,id_11
Dempster,2009,25,post,63,150,0.239183,0.122797,id_12
Enz_2,2022,18,6,6,72,0.537218,0.15867,id_13
Enz_1,2022,26,6,6,72,0.13808,0.118013,id_14
Fedotchev,2018,16,post,0.0104,15,0.856557,0.197227,id_15
Gadea_2,2016,10,post,0.031,30,0.211856,0.171809,id_16
Gadea,2020,16,post,0.0278,30,0.579352,0.169715,id_17
Goksin,2019,11,1,0.012674,11.25,0.240536,0.168257,id_18
Goksin,2019,11,2,3,22.5,0.373331,0.17607,id_19
Goksin,2019,11,3,6,33.75,0.452257,0.182074,id_20
Goksin,2019,11,4,9,45,0.570019,0.192675,id_21
Goksin,2019,11,5,12,56.25,0.549974,0.190743,id_22
Hoedlmoser,2008,16,4,4,120,-0.23729,0.147371,id_23
Hoedlmoser,2008,16,10,12,240,0.094915,0.143243,id_24
Hoedlmoser,2008,16,post,12,240,0.142373,0.144237,id_25
Kober_1,2020,10,post,24.5,180,1.0806,0.262197,id_26
Kober_2,2020,10,post,24.5,180,-0.63607,0.205148,id_27
Kober_3,2022,13,1,0.002083333,3,0.286239,0.161414,id_28
Kober_3,2022,13,2,0.004166667,6,0.256628,0.159936,id_29
Kober_3,2022,13,3,0.00625,9,0.187536,0.157076,id_30
Kober_3,2022,13,4,0.008333333,12,0.039481,0.153883,id_31
Kober_3,2022,13,5,0.010416667,15,0.098703,0.154667,id_32
Kober_3,2022,13,6,0.0125,18,0.444163,0.171645,id_33
Kober_3,2022,13,7,0.014583333,21,0.493515,0.175582,id_34
Kober_3,2022,13,8,0.016666667,24,0.394812,0.168044,id_35
Kober_3,2022,13,9,0.018749667,27,0.532996,0.178959,id_36
Kober_4,2022,13,1,0.002083333,3,-0.15146,0.155922,id_37
Kober_4,2022,13,2,0.004166667,6,0.119005,0.155088,id_38
Kober_4,2022,13,3,0.00625,9,0.097368,0.154642,id_39
Kober_4,2022,13,4,0.008333333,12,0.129823,0.155344,id_40
Kober_4,2022,13,5,0.010416667,15,0.194735,0.157335,id_41
Kober_4,2022,13,6,0.0125,18,0.324559,0.163542,id_42
Kober_4,2022,13,7,0.014583333,21,0.054093,0.154014,id_43
Kober_4,2022,13,8,0.016666667,24,0.151461,0.155922,id_44
Kober_4,2022,13,9,0.018749667,27,0.129823,0.155344,id_45
Marins,2019,19,transfer,0.0055,8,0.574321,0.158168,id_46
Maszczyk,2018,8,post,35,375,1.17387,0.291515,id_47
Mayeli,2020,18,1,0.003703704,2.67,-0.2809,0.142571,id_48
Mayeli,2020,18,2,0.007407407,5.333334,-0.25548,0.14146,id_49
Mayeli,2020,18,3,0.011111111,8,-0.28598,0.142804,id_50
Mayeli,2020,18,transfer,0.011111111,8,-0.1271,0.137387,id_51
Miroslaw_1,2022,10,post,120,600,-0.56601,0.197846,id_52
Miroslaw_2,2022,10,post,120,600,0.19333,0.171045,id_53
Nam_2,2020,17,1,0.003701389,40,-0.35527,0.149706,id_54
Nam_2,2020,17,transfer,0.0277,40,-0.25377,0.144623,id_55
Nam_1,2020,19,1,0.003701389,40,-0.53941,0.155423,id_56
Nam_1,2020,19,transfer,0.0277,40,-0.54841,0.156118,id_57
Nam_3,2020,20,1,0.003701389,40,-0.32998,0.138921,id_58
Nam_3,2020,20,transfer,0.0277,40,-0.12278,0.131556,id_59
Navarro,2018,24,post,21,120,0.003454,0.120729,id_60
Perez-Elvira_2,2021,45,post,,,0.034562,0.091144,id_61
Perez-Elvira_1,2021,48,post,,,0.180143,0.090156,id_62
Pimenta_2,2018,10,1,0.015,20,0,0.162484,id_63
Pimenta_2,2018,10,2,2.917,40,0.217236,0.167207,id_64
Pimenta_2,2018,10,3,5.8337,60,0.072412,0.163015,id_65
Pimenta_2,2018,10,4,8.7504,80,0.362061,0.175291,id_66
Pimenta_2,2018,10,5,11.6671,100,0.362061,0.175291,id_67
Pimenta_2,2018,10,6,14.5838,120,0.289648,0.170791,id_68
Pimenta_2,2018,10,post,14.5838,120,-0.07241,0.163015,id_69
Pimenta_1,2018,11,1,0.015,20,0,0.167184,id_70
Pimenta_1,2018,11,2,2.917,40,0.38443,0.181972,id_71
Pimenta_1,2018,11,3,5.8337,60,0.096108,0.168146,id_72
Pimenta_1,2018,11,4,8.7504,80,0.192215,0.171001,id_73
Pimenta_1,2018,11,5,11.6671,100,0.38443,0.181972,id_74
Pimenta_1,2018,11,6,14.5838,120,0.864968,0.232572,id_75
Pimenta_1,2018,11,post,14.5838,120,0.288323,0.175655,id_76
Rijken,2016,10,post,42,444,0.357374,0.180035,id_77
Rijken,2016,10,post_2,77,444,0.119125,0.16866,id_78
Staufenbiel_1,2014,10,post,21,240,0.585278,0.199796,id_79
Staufenbiel_2,2014,10,post,21,240,-0.23969,0.173083,id_80
Wada,2017,11,6,14,10,1.079214,0.254632,id_81
Witte,2013,10,10,35,180,0.108046,0.168399,id_82
Yamashita_1,2017,18,4,4,88,0.34547,0.145814,id_83
Yamashita_2,2017,12,4,4,88,0.751258,0.206322,id_84
ZandiMehran,2013,8,1,20,100,-1.11341,0.282109,id_85
ZandiMehran,2013,8,post,20,100,0.071833,0.177246,id_86
